matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
521614,ROTOR LAMINATION                             ,HA-22-2-200                         ,KG,25.417,177.917,610,T    ,1500,0,3,0.5,0,0,NULL,NULL,0,0,0,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,A ,0,NULL,NULL
521615,ROTOR LAMINATION FOR 100KW                   ,LA-28-2-200                         ,KG,25.833,180.833,620,T    ,1500,0,3,0.5,0,0,NULL,NULL,0,0,0,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,A ,0,NULL,NULL
521616,STATOR LAMINATION                            ,HA-22-2-100                         ,KG,50,350,1200,T    ,1500,0,3,0.5,0,0,NULL,NULL,0,0,0,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,A ,0,NULL,NULL
521621,FIBRE LAMINATION (DEEP SLOT)                 ,AD-11-2-152                         ,NO,0.833,3.333,10,T    ,0,NULL,3,1,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Production          ,NULL,NULL,NULL,NULL,B ,20,NULL,NULL
521622,FIBRE LAMINATION                             ,AD-11-2-116                         ,NO,59.167,236.667,710,T    ,1500,233,3,1,0,0,521 ,NULL,0,0,0,NULL,Production          ,NULL,NULL,NULL,NULL,B ,200,NULL,NULL
521623,FIBRE LAMINATION                             ,03-10176-101D                       ,NO,0,0,0,T    ,1500,0,3,1,0,0,NULL,NULL,0,0,0,NULL,Production          ,NULL,NULL,NULL,NULL,X ,0,NULL,NULL
522001,S.E. CU WIRE  CLASS F                        ,DIA 0.71 MM                         ,KG,13,26,78,NULL,1500,36,2,2,0,0,522 ,NULL,0,0,0,S22001 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,C ,50,NULL,NULL
901691,4 Point Starter for DC Motor                 ,"out put:11 KW,Speed: 1500RPM,       ",NO,NULL,NULL,NULL,NULL,0,NULL,0,1,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
522003,S.E. CU WIRE  CLASS F                        ,DIA 3.00 MM                         ,KG,6,12,36,NULL,1500,17,2,2,0,0,522 ,NULL,0,0,0,S22001 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,C ,50,NULL,NULL
522004,S.E. CU WIRE  CLASS F                        ,DIA 3.35 MM                         ,KG,0,0,0,NULL,1500,17,2,2,0,0,522 ,NULL,0,0,0,S22001 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,C ,50,NULL,NULL
522005,S.E. CU WIRE  CLASS F                        ,DIA 3.75 MM                         ,KG,5.833,11.667,35,NULL,1500,16,2,2,0,0,522 ,NULL,0,0,0,S22001 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,C ,50,NULL,NULL
522006,S.E. CU WIRE  CLASS F                        ,DIA 4.50 MM                         ,KG,0,0,0,NULL,1500,0,1.5,1.5,0,0,522 ,NULL,0,0,0,S22001 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,X ,0,NULL,NULL
522008,S.E. CU WIRE  CLASS F                        ,DIA 0.30 MM                         ,KG,0,0,0,NULL,1500,0,1.5,1.5,0,0,522 ,NULL,0,0,0,S22001 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,X ,0,NULL,NULL
522009,S.E. CU WIRE  CLASS F                        ,DIA 0.35 MM                         ,KG,0,0,0,NULL,1500,0,1.5,1.5,0,0,522 ,N,0,0,0,S22001 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,X ,0,NULL,NULL
522045,S.E. CU WIRE  CLASS H                        ,DIA 0.30 MM                         ,KG,4.875,9.75,39,NULL,1500,26,1.5,1.5,0,0,522 ,NULL,0,0,0,S22045 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,C ,40,NULL,NULL
522046,S.E. CU WIRE  CLASS H                        ,DIA 0.35 MM                         ,KG,4,8,32,NULL,1500,23,1.5,1.5,0,0,522 ,NULL,0,1,0,S22045 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,C ,30,NULL,NULL
522050,S.E. CU WIRE  CLASS H                        ,DIA 0.80 MM                         ,KG,0,0,0,NULL,1500,0,1.5,1.5,0,0,522 ,N,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,X ,0,NULL,NULL
522051,S.E. CU WIRE  CLASS H                        ,DIA 0.90 MM                         ,KG,20,40,160,NULL,1500,57,1.5,1.5,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,100,NULL,NULL
521611,ROTOR LAMINATION (FORGED SHAFT)              ,AD-11-2-218                         ,KG,41.667,291.667,1000,T    ,0,NULL,3,0.5,NULL,0,NULL,NULL,NULL,0,NULL,S21602 R1 ,Production          ,NULL,NULL,NULL,NULL,A ,0,0,NULL
522052,S.E. CU WIRE  CLASS H                        ,DIA 0.95 MM                         ,KG,0,0,0,NULL,1500,0,1.5,1.5,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,X ,0,NULL,NULL
522053,S.E. CU WIRE  CLASS H                        ,DIA 1.00 MM                         ,KG,24.583,98.333,590,NULL,1500,84,1.5,0.5,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,200,NULL,NULL
522054,S.E. CU WIRE  CLASS H                        ,DIA 1.06 MM                         ,KG,75.833,189.583,910,NULL,1500,97,1.5,1,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,300,NULL,NULL
522055,S.E. CU WIRE  CLASS H                        ,DIA 1.12 MM                         ,KG,100,250,1200,NULL,1500,104,1.5,1,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,400,NULL,NULL
522056,S.E. CU WIRE  CLASS H                        ,DIA 1.18 MM                         ,KG,50,200,1200,NULL,1500,147,1.5,0.5,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,400,NULL,NULL
522057,S.E. CU WIRE  CLASS H                        ,DIA 1.25 MM                         ,KG,303.333,953.333,5200,NULL,0,363,1.5,0.7,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,1000,NULL,NULL
522058,S.E. CU WIRE  CLASS H                        ,DIA 1.32 MM                         ,KG,51.667,129.167,620,NULL,1500,52,1.5,1,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,200,NULL,NULL
522059,S.E. CU WIRE  CLASS H                        ,DIA 1.40 MM                         ,KG,332.5,1045,5700,NULL,1500,364,1.5,0.7,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,1000,NULL,NULL
522061,S.E. CU WIRE  CLASS H                        ,DIA 1.90 MM                         ,KG,0,0,0,NULL,1500,0,1.5,2,0,0,522 ,S,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,A ,0,NULL,NULL
522070,S.E. CU WIRE  CLASS H                        ,1.5 MM (Thk)                        ,KG,133.333,533.333,3200,NULL,1500,200,1.5,0.5,0,0,522 ,NULL,0,0,0,S22050 R0 ,Production          ,NULL,Copper                        ,Copper wire                   ,Copper                        ,B ,500,NULL,NULL
