matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
463305,COMPOUNDING PRIMARY                          ,SL 226                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463306,PLATE                                        ,SL 228                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463307,BRIDGE RECTIFIER                             ,SL 229                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463308,COMPOUNDING TRANSFORMER WIRING               ,SL 230                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463309,MISCELLENEOUS                                ,SL 231                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463310,TERMINAL BOARD                               ,SL 232                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463311,TERMINAL SUPPORT                             ,SL 234                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463400,ASSEMBLED ALTERNATOR                         ,SL225 63kva                         ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
463401,PAINTING AND FINISHING KIT                   ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
463402,DESPATCH KIT                                 ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
463403,STATOR ASSMBLY KIT                           ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
463404,ROTOR ASSEMBLY  KIT                          ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
